model_id,feature_set,features,feature_count,alpha,cap,calibration_base_sigma,calibration_oof_sigma,relative_sigma_improvement,calibration_base_r68,calibration_oof_r68,relative_r68_improvement,calibration_base_r90,calibration_oof_r90,relative_r90_improvement,calibration_protocol_successes,calibration_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_median_scale_shift,background_ratio_q01,background_ratio_q99,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safety_pass_count,safe
S17_geometry_shape_a300_c50,S17_geometry_shape,dt|wS2CDF_max|xS2T_max|yS2T_max|xS2B_max|yS2B_max|wS2FWHM_max|tDiffBottomTopS2_max,8,300.0,0.005,0.04178090146749322,0.042469847950196093,-0.01648950737070365,0.06774135758272384,0.06785259044313102,-0.0016420228996938402,0.1312197664911172,0.13104835986750552,0.0013062561243262216,12,0.15822224720572808,0.30801995987447917,0.010432635423632902,0.6908791604506405,0.0,0.002863663645059488,0.9999911209816666,1.0805860805860807,1.0805860805860807,0.0,0.9956196387099963,1.0044432233263738,0.0005191078386630466,0.013036866873557929,10,14,False
S05_s2_pattern_a1000_c75,S05_s2_pattern,dt|wS2CDF_max|qS2hitStdevTo1_max|qS2channelStdevTo1_max,4,1000.0,0.0075,0.04178090146749322,0.04249511363230159,-0.017094225823826248,0.06774135758272384,0.06791521744780052,-0.0025665246650004025,0.1312197664911172,0.1306900962473183,0.004036512622774269,12,0.15756765730528743,0.3002006276043006,0.11312310304027985,0.6996553320644066,0.0,0.0037986012189719833,0.9999787605631919,0.9950396825396826,0.9897186147186148,0.0,0.9934902864269496,1.00669783198006,0.000531266731622182,0.017341040462427793,10,14,False
S13_core_s2_shape_a1000_c75,S13_core_s2_shape,dt|wS2CDF_max|xS2T_max|yS2B_max|wS2FWHM_max|tDiffBottomTopS2_max,6,1000.0,0.0075,0.04178090146749322,0.04251352396373516,-0.01753486570441609,0.06774135758272384,0.06818481218930013,-0.0065462905143989225,0.1312197664911172,0.13087335819482576,0.0026399094096458686,12,0.1575005604080295,0.54095375276506,0.0101754205463244,0.4563917897011163,0.0,0.003924781377138527,0.9999692787627421,1.0780730897009967,0.9365079365079365,0.0,0.9933706257836282,1.006708118447824,0.0003301923477525559,0.018635019801201302,10,14,False
S14_core_hit_topology_a1000_c75,S14_core_hit_topology,dt|wS2CDF_max|xS2T_max|yS2B_max|nPMTS2_max|rmsCogS1T_max,6,1000.0,0.0075,0.04178090146749322,0.04251695969073979,-0.01761709770238551,0.06774135758272384,0.06786907854272489,-0.001885420732011145,0.1312197664911172,0.13130672196748153,-0.0006626705616812334,12,0.15686706891978064,0.30235094397859974,0.0017181953804208036,0.6967436596532743,0.0,0.004011393568868141,0.9999805422042536,1.0769841269841272,1.0769841269841272,0.0,0.9934506786173879,1.0067119025023474,0.0004919882492218086,0.011973575557390592,10,14,False
S10_corrected_position_a300_c50,S10_corrected_position,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,300.0,0.005,0.04178090146749322,0.04253554650720895,-0.01806196164299778,0.06774135758272384,0.0679535200907239,-0.0031319494555592797,0.1312197664911172,0.13098432263101872,0.0017942712930708593,12,0.15847074904099556,0.2991717680950666,0.005247183497093472,0.699819949585884,0.0,0.0024858650416641885,0.9999915064738106,1.0460992907801419,1.0256991685563113,0.0,0.9956332026178454,1.00444961170862,0.00028740330355159216,0.013005780346820817,10,14,False
S02_top_xy_a300_c50,S02_top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,300.0,0.005,0.04178090146749322,0.042546537940647756,-0.018325034794910433,0.06774135758272384,0.0679668846965705,-0.0033292381773017965,0.1312197664911172,0.1310089253385431,0.0016067789039112546,12,0.1582512969568286,0.32000617315705543,0.0006893358711867895,0.6796028602294357,0.0,0.0031977445956383648,0.9999908265180867,1.0479969765684052,1.0479969765684052,0.0,0.995616584333995,1.004452766576128,0.00041493590966346083,0.017683045523373964,10,14,False
S01_M06_reference_a300_c50,S01_M06_reference,dt|wS2CDF_max,2,300.0,0.005,0.04178090146749322,0.042559920969457404,-0.018645349300811187,0.06774135758272384,0.06809485054695111,-0.005218273988613076,0.1312197664911172,0.13104920207599613,0.0012998378192710103,12,0.15842404675328015,0.3506147435567673,0.0006790472760944493,0.6488296723082463,0.0,0.0022996539632683622,0.9999903383961637,1.0059907834101383,0.921875,0.0,0.9955967875036849,1.0044517176018604,0.0003145435812159647,0.014554087530966098,10,14,False
S11_historical_core_a1000_c50,S11_historical_core,dt|wS2CDF_max|xS2T_max|yS2B_max,4,1000.0,0.005,0.04178090146749322,0.042565726452273744,-0.018784299936446924,0.06774135758272384,0.06811828936112957,-0.005564278482984797,0.1312197664911172,0.13108198311436237,0.0010500199812819577,12,0.15811716488737237,0.4286022943567056,0.0009979937239569937,0.5707083697721076,0.0,0.0030363518393939914,0.9999884067304955,1.0265567765567765,0.9611528822055139,0.0,0.9955808260363115,1.0044680796813514,0.00029158334629353355,0.01568951279933939,10,14,False
S03_bottom_xy_a100_c50,S03_bottom_xy,dt|wS2CDF_max|xS2B_max|yS2B_max,4,100.0,0.005,0.04178090146749322,0.042571651039169184,-0.018926101254449712,0.06774135758272384,0.06802091889807779,-0.004126892718566477,0.1312197664911172,0.13122319132864188,-2.6100012340046774e-05,12,0.1583537130539494,0.3174957559545244,0.001810792736251865,0.6820206800761356,0.0,0.0024967318964753786,0.9999910137895425,1.0460992907801419,0.9611528822055139,0.0,0.9956066770257168,1.0044417170431261,0.00047230542963405675,0.01747623169762097,10,14,False
S17_geometry_shape_a1000_c50,S17_geometry_shape,dt|wS2CDF_max|xS2T_max|yS2T_max|xS2B_max|yS2B_max|wS2FWHM_max|tDiffBottomTopS2_max,8,1000.0,0.005,0.04178090146749322,0.04258215520988921,-0.019177512074969982,0.06774135758272384,0.06796333209278778,-0.0032767945312117686,0.1312197664911172,0.13103211464171075,0.0014300577910200118,12,0.1580616993407018,0.38799320952723904,0.010432635423632902,0.6104635012089099,0.0,0.00249038049872462,0.9999892830030945,1.028486394557823,1.028486394557823,0.0,0.995593175244318,1.0044577281059466,0.0003540309839458189,0.012799339388934794,10,14,False
