scheme,candidate,feature,global_center,bin,low,high,feature_center,events,signal_center,relative_response
file_mod5,A5_both_file_linear,dt_us,1.0000753725157414,3,458.34200000000004,553.3672,501.149,900,1.0062804592367651,1.0062046190632756
file_mod5,A5_both_file_linear,dt_us,1.0000753725157414,4,553.3672,842.3,635.726,900,1.0094223981246657,1.0093463211531861
file_mod5,A5_both_file_linear,r2,1.0000753725157414,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0200469384646151,1.0199700607551552
file_mod5,A5_both_file_linear,r2,1.0000753725157414,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9969167968394352,0.9968416623755462
file_mod5,A5_both_file_linear,r2,1.0000753725157414,2,125947.79815012205,131626.35543508327,128983.76821730396,900,1.0031260249014027,1.0030504224676458
file_mod5,A5_both_file_linear,r2,1.0000753725157414,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9984573417322382,0.9983820911623561
file_mod5,A5_both_file_linear,r2,1.0000753725157414,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9711239702687171,0.9710507797285363
file_mod5,A5_both_file_linear,fileNumber,1.0000753725157414,0,0.0,208.0,106.0,897,1.0019973654904306,1.0019218481201615
file_mod5,A5_both_file_linear,fileNumber,1.0000753725157414,1,208.0,397.0,303.0,901,1.000321604672791,1.000246213599311
file_mod5,A5_both_file_linear,fileNumber,1.0000753725157414,2,397.0,590.0,496.0,898,1.0016053454189522,1.0015298575939953
file_mod5,A5_both_file_linear,fileNumber,1.0000753725157414,3,590.0,799.0,697.0,902,0.998141537745854,0.998066310977119
file_mod5,A5_both_file_linear,fileNumber,1.0000753725157414,4,799.0,999.0,902.0,902,0.9976020732484154,0.9975268871374122
contiguous_file_block,A0_raw,dt_us,0.999674856934089,0,10.112,292.3052,214.621,900,1.0142487835322658,1.014578666750581
contiguous_file_block,A0_raw,dt_us,0.999674856934089,1,292.3052,380.4608,339.883,900,0.9914180709467213,0.9917405285027469
contiguous_file_block,A0_raw,dt_us,0.999674856934089,2,380.4608,458.34200000000004,417.798,900,0.9853694424647956,0.9856899327115551
contiguous_file_block,A0_raw,dt_us,0.999674856934089,3,458.34200000000004,553.3672,501.149,900,0.9919061494764191,0.9922287657794098
contiguous_file_block,A0_raw,dt_us,0.999674856934089,4,553.3672,842.3,635.726,900,1.0231834076842914,1.023516196878554
contiguous_file_block,A0_raw,r2,0.999674856934089,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0756506763036844,1.0760005304150655
contiguous_file_block,A0_raw,r2,0.999674856934089,1,116121.5027526799,125947.79815012205,122035.51647905367,900,1.0039385099743505,1.0042650397883746
contiguous_file_block,A0_raw,r2,0.999674856934089,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9876885437194397,0.9880097882511418
contiguous_file_block,A0_raw,r2,0.999674856934089,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9857765369135494,0.9860971595672973
contiguous_file_block,A0_raw,r2,0.999674856934089,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9716650202701097,0.9719810531697447
contiguous_file_block,A0_raw,fileNumber,0.999674856934089,0,0.0,208.0,106.0,897,1.0009245515883316,1.0012501011159523
contiguous_file_block,A0_raw,fileNumber,0.999674856934089,1,208.0,397.0,303.0,901,0.9991369492261972,0.999461917338262
contiguous_file_block,A0_raw,fileNumber,0.999674856934089,2,397.0,590.0,496.0,898,1.0045835428085046,1.0049102824186957
contiguous_file_block,A0_raw,fileNumber,0.999674856934089,3,590.0,799.0,697.0,902,0.9974914749872352,0.9978159079107481
contiguous_file_block,A0_raw,fileNumber,0.999674856934089,4,799.0,999.0,902.0,902,0.9975786528753686,0.9979031141533866
contiguous_file_block,A1_s2_lifetime,dt_us,0.9962048391688628,0,10.112,292.3052,214.621,900,0.9612309998868054,0.9648929237171381
contiguous_file_block,A1_s2_lifetime,dt_us,0.9962048391688628,1,292.3052,380.4608,339.883,900,0.9717392530043207,0.9754412092748377
