name,feature_set,feature_count,alpha,cap,calibration_base_r68,calibration_oof_r68,calibration_oof_r90,relative_r68_improvement,calibration_base_sigma,calibration_oof_sigma,relative_sigma_improvement,calibration_protocol_successes,calibration_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_median_scale_shift,background_ratio_q01,background_ratio_q99,time_ratio_span,safe
drift_only_a1000_c75,drift_only,1,1000.0,0.0075,0.06774135758272384,0.06825068809867078,0.13129412057856488,-0.007518752710631071,0.04178090146749322,0.042220403060619256,-0.010519198430124277,12,0.1579844699139057,0.5927979834353619,0.016307423221359123,0.40616286846031174,0.0,0.0043362976262796395,0.9999682552570368,0.9877232142857143,0.0,0.9933823987998631,1.0067197657607059,0.0,False
drift_only_a1000_c100,drift_only,1,1000.0,0.01,0.06774135758272384,0.06827374072685538,0.1313747541787727,-0.007859056315507207,0.04178090146749322,0.042247987035294136,-0.011179403780081643,12,0.15619955941806463,0.7024229641442461,0.016307423221359123,0.2963218272544884,0.0,0.005934483922677597,0.9999404417688611,1.0471861471861472,0.0,0.9911721812922739,1.008968830153718,0.0,False
geometry_a10_c100,geometry,7,10.0,0.01,0.06774135758272384,0.06786471710914246,0.13066083399814643,-0.0018210371155904514,0.04178090146749322,0.04226000732130125,-0.011467101881006414,12,0.15714061740171847,0.3494315551211482,0.0638715983332476,0.6420494881423942,0.0,0.003979801626756256,0.9999580492192486,1.1336675020885547,0.0,0.9912094611765956,1.008935447587186,0.0,False
geometry_a100_c50,geometry,7,100.0,0.005,0.06774135758272384,0.06795974318240512,0.13112660058017986,-0.0032238149259791182,0.04178090146749322,0.04228945755512986,-0.012171974987957412,12,0.15814485812973222,0.1956170584906631,0.0638715983332476,0.7999691342147229,0.0,0.001238144717849766,0.9999937974096978,0.9811035525321239,0.0,0.9956785539958243,1.0043864436135377,0.0,False
drift_only_a10_c50,drift_only,1,10.0,0.005,0.06774135758272384,0.06792760284644798,0.13120040542703826,-0.0027493583000119948,0.04178090146749322,0.042319015523912,-0.012879426664296645,12,0.1583226910628529,0.3096867122794382,0.016307423221359123,0.6898091465610371,0.0,0.002334955552492823,0.9999912958955327,1.0059907834101383,0.0,0.9956068819745985,1.0044450177943403,0.0,False
geometry_a10_c50,geometry,7,10.0,0.005,0.06774135758272384,0.06796760163160884,0.13121174204177294,-0.0033398215943445386,0.04178090146749322,0.04235103660901391,-0.01364583150424048,12,0.15822048093576913,0.18218015330006687,0.0638715983332476,0.8139204691599362,0.0,0.0011172493888396773,0.9999942189694275,0.9936120789779326,0.0,0.9956909512321491,1.0043705059826318,0.0,False
geometry_ratio_a1000_c75,geometry_ratio,11,1000.0,0.0075,0.06774135758272384,0.06764950478259432,0.13108207422560947,0.0013559338549917754,0.04178090146749322,0.042351670364527416,-0.013661000049945526,12,0.15696046472556635,0.05165903595863985,0.404599002006276,0.9435361901332373,0.0,0.0063558986361040605,0.9999954349810202,1.0265567765567765,0.0,0.9950782306773117,1.0059341117096015,0.0,False
geometry_a10_c75,geometry,7,10.0,0.0075,0.06774135758272384,0.06814836543943843,0.13120189736409377,-0.0060082624741844,0.04178090146749322,0.042425664407860234,-0.015432001649573257,12,0.15827972667629375,0.26862492926590875,0.0638715983332476,0.7251916250835948,0.0,0.0022656485667832517,0.9999811329339314,1.1383415435139572,0.0,0.9934479570191442,1.006656476127026,0.0,False
drift_only_a1000_c50,drift_only,1,1000.0,0.005,0.06774135758272384,0.06798586366453162,0.13092442139111277,-0.0036094062849152397,0.04178090146749322,0.04243412445582423,-0.01563448765793707,12,0.1582448802450258,0.44296517310561245,0.016307423221359123,0.5563352024281084,0.0,0.002607790545712691,0.9999882659788483,1.0225137674117266,0.0,0.9955914715044285,1.0044698692275595,0.0,False
drift_only_a100_c75,drift_only,1,100.0,0.0075,0.06774135758272384,0.06811751809402503,0.13092073118179762,-0.005552893014312943,0.04178090146749322,0.04243713171050899,-0.01570646443630075,12,0.15818707390090236,0.45283193579916664,0.016307423221359123,0.546458151139462,0.0,0.0039539661649193635,0.9999732413573136,1.0559284116331096,0.0,0.9933812593270324,1.00670726410473,0.0,False
