model_id,feature_set,features,feature_count,alpha,cap,dev_base_sigma,dev_new_sigma,dev_sigma_gain,dev_base_r68,dev_new_r68,dev_r68_gain,dev_base_r90,dev_new_r90,dev_r90_gain,dev_protocol_successes,dev_center_bias_max,hold_base_sigma,hold_new_sigma,hold_sigma_gain,hold_base_r68,hold_new_r68,hold_r68_gain,hold_base_r90,hold_new_r90,hold_r90_gain,hold_protocol_successes,hold_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_median_scale_shift,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safety_pass_count,safe
P03_plus_pair_a300_c75,P03_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|qS1channelStdevTo1_max,6,300.0,0.0075,0.04237804561569755,0.04320999591002938,-0.019631634310754098,0.06841353944679428,0.0678801988443868,0.00779583408080009,0.13139431589248823,0.13094118893602205,0.003448603947502127,12,0.15679684633158375,0.04199252184928828,0.04280630932391992,-0.019379342768513164,0.06542480619034491,0.06524495314703076,0.0027490038379462955,0.13005254847924436,0.13001255548189966,0.0003075141380337598,12,0.15751840738880596,0.05822315962755286,0.08133134420494881,0.9379391944030042,0.0,0.00734925109892204,0.9999939369074061,0.998941798941799,0.985797827903091,0.0,0.0015657722052169198,0.004541701073492985,10,13,False
G05_plus_top5_a1000_c75,G05_plus_top5,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|xS2T_max|yS2B_max|qS1channelStdevTo1_max|qS2hitStdevTo1_max,9,1000.0,0.0075,0.04237804561569755,0.04321427216555507,-0.019732541642924817,0.06841353944679428,0.0678289545059947,0.008544872046186258,0.13139431589248823,0.1309845580632745,0.003118535428496161,12,0.15619158322940818,0.04199252184928828,0.04495760763817183,-0.07060985285726074,0.06542480619034491,0.06492702736241887,0.007608411196172504,0.13005254847924436,0.1297928819761885,0.001996627563952025,12,0.15640435121771323,0.09592057204588714,0.13216729255620144,0.8963012500643037,0.0,0.0084894891463635,0.9999901638908687,1.0034013605442178,1.0034013605442178,0.0,0.0008580448334016832,0.009805945499587118,10,13,False
A06_plus_rmsCogS1T_max_a3000_c25,A06_plus_rmsCogS1T_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|rmsCogS1T_max,5,3000.0,0.0025,0.04237804561569755,0.042359608324009215,0.0004350670593810113,0.06841353944679428,0.06852015868614598,-0.001558452321190451,0.13139431589248823,0.13141510940912476,-0.00015825278662395803,12,0.15667647514312633,0.04199252184928828,0.04190380028554687,0.0021127943699079665,0.06542480619034491,0.06515699468865507,0.004093424456018568,0.13005254847924436,0.13011605973689203,-0.0004883507350708083,12,0.15686213320564868,0.1346982869489171,0.00513400895107773,0.8640259272596327,0.0,0.000999448470330251,0.9999989996424166,1.1102150537634408,1.1102150537634408,0.0,0.00022209057152355882,0.005559630350302325,10,12,False
G03_plus_topology_a300_c25,G03_plus_topology,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|nPMTS2_max|rmsCogS1T_max,6,300.0,0.0025,0.04237804561569755,0.04238443050393761,-0.0001506649999378773,0.06841353944679428,0.06853367821006985,-0.001756067062850919,0.13139431589248823,0.13139431589248823,0.0,12,0.15681526826931413,0.04199252184928828,0.042303012731243005,-0.007393956549432312,0.06542480619034491,0.06584000006194511,-0.006346123065191112,0.13005254847924436,0.13005254847924436,0.0,12,0.15653777549069858,0.07500385822315962,0.005627861515510057,0.9244302690467616,0.0,0.0007766793592740193,0.9999994523217801,0.9871299871299872,0.9871299871299872,0.0,0.00028796636415162613,0.006193228736581333,10,12,False
G03_plus_topology_a1000_c25,G03_plus_topology,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|nPMTS2_max|rmsCogS1T_max,6,1000.0,0.0025,0.04237804561569755,0.04238710305542575,-0.00021372952897191766,0.06841353944679428,0.06841480252452477,-1.846239415037587e-05,0.13139431589248823,0.13171959584375773,-0.002475601391582538,12,0.1569166072343503,0.04199252184928828,0.04217775749045491,-0.004411157820705336,0.06542480619034491,0.06515699468865507,0.004093424456018568,0.13005254847924436,0.13015645176757284,-0.000798933120061518,12,0.15664344235973637,0.09781367354287772,0.005627861515510057,0.9010751581871496,0.0,0.0007540300782576286,0.999999307448316,1.009672619047619,1.009672619047619,0.0,0.0003210535588920038,0.00908340214698597,10,12,False
G02_plus_s2_shape_a3000_c50,G02_plus_s2_shape,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|wS2FWHM_max|tDiffBottomTopS2_max,6,3000.0,0.005,0.04237804561569755,0.04239440283034533,-0.00038598322339145064,0.06841353944679428,0.0686936308485591,-0.004094093128782728,0.13139431589248823,0.1313647843900799,0.0002247547940543715,12,0.15689850594998622,0.04199252184928828,0.043469804518128236,-0.035179660658198664,0.06542480619034491,0.06507305631505711,0.005376399194281567,0.13005254847924436,0.1307387189273711,-0.005276101515505838,12,0.15625609112245875,0.5304696743659654,0.014527496270384278,0.46339832295899996,0.0,0.00234489062193715,0.9999868505350237,1.2205308352849336,1.2205308352849336,0.0,0.00018616773451562985,0.013163386267502242,10,12,False
P06_plus_pair_a300_c25,P06_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max|qS1channelStdevTo1_max,6,300.0,0.0025,0.04237804561569755,0.04239589817147617,-0.00042126897357452897,0.06841353944679428,0.06851504077876935,-0.0014836439218879338,0.13139431589248823,0.13139431589248823,0.0,12,0.1567668107582062,0.04199252184928828,0.04177300474738079,0.005227528432213302,0.06542480619034491,0.06542480619034491,0.0,0.13005254847924436,0.13005254847924436,0.0,12,0.15579108501199967,0.03207983949791656,0.018365142239827152,0.967724677195329,0.0,0.0009722379458557504,0.9999996242371949,0.9761904761904763,0.9761904761904763,0.0,0.0008660564248681446,0.0044384805945499595,10,12,False
P09_plus_pair_a1000_c25,P09_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|yS2B_max|qS2hitStdevTo1_max,6,1000.0,0.0025,0.04237804561569755,0.042399660246057055,-0.0005100431141991102,0.06841353944679428,0.06845510826192845,-0.0006076109417858522,0.13139431589248823,0.13174110554243518,-0.002639304810039933,12,0.1571902597515873,0.04199252184928828,0.04245749005646407,-0.011072643096896151,0.06542480619034491,0.06571283379073367,-0.004402421912428567,0.13005254847924436,0.1304714859751181,-0.0032212940136318036,12,0.15662815255053053,0.1490200113174546,0.029651731056124286,0.8465558927928392,0.0,0.0012446235778567785,0.9999988472766489,1.194047619047619,1.194047619047619,0.0,0.0002502682225529185,0.007638315441783644,10,12,False
A06_plus_rmsCogS1T_max_a1000_c25,A06_plus_rmsCogS1T_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|rmsCogS1T_max,5,1000.0,0.0025,0.04237804561569755,0.04240077347793146,-0.0005363121848518393,0.06841353944679428,0.06841480252452477,-1.846239415037587e-05,0.13139431589248823,0.13167763451439102,-0.002156247170802983,12,0.1569283869808814,0.04199252184928828,0.042199463350829074,-0.004928056054444685,0.06542480619034491,0.06515699468865507,0.004093424456018568,0.13005254847924436,0.13015645176757284,-0.000798933120061518,12,0.15656833383314994,0.09231956376356809,0.00513400895107773,0.9068882144143218,0.0,0.0006973064798277214,0.9999993212011593,0.9806828391734052,0.9761904761904763,0.0,0.00035525278113657244,0.008464079273327818,10,12,False
A05_plus_qS2hitStdevTo1_max_a1000_c25,A05_plus_qS2hitStdevTo1_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2hitStdevTo1_max,5,1000.0,0.0025,0.04237804561569755,0.04240366858140056,-0.0006046283005913811,0.06841353944679428,0.06846984492732396,-0.000823016627775397,0.13139431589248823,0.13179441393634334,-0.0030450179000320876,12,0.15712607329603867,0.04199252184928828,0.04187542239066461,0.0027885788580154225,0.06542480619034491,0.06571283379073367,-0.004402421912428567,0.13005254847924436,0.13106789505715344,-0.007807202471477259,12,0.15569013803601617,0.1503781058696435,0.02851998559596687,0.8450846236946346,0.0,0.0011929019493408433,0.9999988282801965,1.174473067915691,1.174473067915691,0.0,0.00017995711297236205,0.008051197357555745,10,12,False
A04_plus_qS1channelStdevTo1_max_a300_c25,A04_plus_qS1channelStdevTo1_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS1channelStdevTo1_max,5,300.0,0.0025,0.04237804561569755,0.04241236542143659,-0.0008098487138898935,0.06841353944679428,0.06861481816322096,-0.00294208892061798,0.13139431589248823,0.13139255406239836,1.3408723793739696e-05,12,0.15671482851193574,0.04199252184928828,0.04195119108033107,0.0009842411728819833,0.06542480619034491,0.06542480619034491,0.0,0.13005254847924436,0.13005254847924436,0.0,12,0.15605879769722109,0.03204897371263954,0.018365142239827152,0.9677658315756983,0.0,0.0008211347073021094,0.9999996378898419,0.9761904761904763,0.9761904761904763,0.0,0.00043433589265728934,0.005161023947151115,10,12,False
P08_plus_pair_a300_c25,P08_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|yS2B_max|qS1channelStdevTo1_max,6,300.0,0.0025,0.04237804561569755,0.042412411149079926,-0.0008109277547627691,0.06841353944679428,0.06851412207951182,-0.001470215304322453,0.13139431589248823,0.13139255406239836,1.3408723793739696e-05,12,0.15673941751152076,0.04199252184928828,0.04199136355856977,2.7583261673846948e-05,0.06542480619034491,0.06542480619034491,0.0,0.13005254847924436,0.13005254847924436,0.0,12,0.1562129511446011,0.031184731724882966,0.019239672822676062,0.9686403621585472,0.0,0.0010314277474915094,0.9999996497847972,0.9761904761904763,0.9761904761904763,0.0,0.000542811902360496,0.003819157720891822,10,12,False
A01_plus_qS2channelStdevTo1_max_a300_c25,A01_plus_qS2channelStdevTo1_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max,5,300.0,0.0025,0.04237804561569755,0.04241720230519718,-0.0009239852600735343,0.06841353944679428,0.06849787406462766,-0.0012327182384559432,0.13139431589248823,0.13132388534559608,0.000536024305265892,12,0.1571460361241973,0.04199252184928828,0.042850456455266986,-0.020430652130344562,0.06542480619034491,0.06540471004325997,0.00030716402928987474,0.13005254847924436,0.13113376721172434,-0.008313706614157867,12,0.15727818952802985,0.0797880549410978,0.03648335819743814,0.9180204743042337,0.0,0.0007707512258620521,0.9999992861762728,0.9725274725274725,0.9725274725274725,0.0,0.0004984666813818706,0.007225433526011557,10,12,False
P04_plus_pair_a1000_c25,P04_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|qS2hitStdevTo1_max,6,1000.0,0.0025,0.04237804561569755,0.04242072274528923,-0.0010070575216867272,0.06841353944679428,0.06857159553977817,-0.002310304279854014,0.13139431589248823,0.13139460284959878,-2.1839385409005985e-06,12,0.15709208004456998,0.04199252184928828,0.04203347883188689,-0.0009753399127969686,0.06542480619034491,0.06526218429101957,0.0024856305856254535,0.13005254847924436,0.13115693154162825,-0.008491821769722074,12,0.15716366995004494,0.09437728278203611,0.11567467462318021,0.9017130510828746,0.0,0.0007722134457102376,0.9999991358374986,1.0769841269841272,1.0769841269841272,0.0,0.00040777116031764926,0.010218827415359205,10,12,False
