outer_fold,s1,s2,alpha,inner_r68,inner_sigma_over_mu,inner_fit_p,inner_fit_success
2,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.5499999999999999,0.06421298038691652,0.04756907474042238,1.0172100743086943e-23,True
2,qS1ub_C,qS2Bdesub_C,0.49999999999999994,0.06450814987147391,0.051551003301376234,4.328026880536393e-08,True
2,qS1ub_C,qS2Bub_C,0.49999999999999994,0.06452550082381397,0.05150781177354546,1.2259859799307092e-07,True
2,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.5499999999999999,0.06480790169734264,0.04726765547575342,7.198492274203611e-23,True
2,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.5499999999999999,0.06480790169734264,0.04731867275675776,1.3555124076413072e-22,True
2,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.5499999999999999,0.06480790169734264,0.04731867275675776,1.3555124076413072e-22,True
2,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.5499999999999999,0.06480790169734264,0.04726765547575342,7.198492274203611e-23,True
2,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.49999999999999994,0.0648770644923534,0.050733763036562185,2.0776645047870363e-21,True
2,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.49999999999999994,0.06487731143791663,0.05080700807953138,3.872653047257387e-21,True
2,qS1ub_C,qS2Bdesub_C_stretch,0.49999999999999994,0.06492954891407048,0.05355799847331759,1.8182432291198644e-09,True
2,qS1ub_C,qS2Bub_C_stretch,0.49999999999999994,0.06493010710204089,0.05357597359145301,1.9975866212813766e-09,True
2,qS1ub_C,qS2Bdesub_C,0.5499999999999999,0.06501625772319525,0.047475928629869546,8.690273037693226e-14,True
2,qS1ub_C,qS2Bub_C,0.5499999999999999,0.0650163356663383,0.04752434256478333,9.987793379345613e-14,True
2,qS1ub_C,qS2Bdesub_C_stretch,0.5499999999999999,0.06529350935326275,0.04621427173830291,3.4189965825141664e-11,True
2,qS1ub_C,qS2Bub_C_stretch,0.5499999999999999,0.06529426655007552,0.046207975401685045,2.402807902684922e-11,True
2,qS1ub_C,qS2Bdesub_C,0.44999999999999996,0.0653368501785943,0.0532266803536126,0.016181071213471086,True
2,qS1ub_C,qS2Bub_C,0.44999999999999996,0.06533733779888572,0.05317584564008253,0.01384873070968153,True
2,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06562656891788986,0.05094901922043396,1.2583921527978273e-14,True
2,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06562656891788986,0.05094901922043396,1.2583921527978273e-14,True
2,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.0656325579842209,0.051107839600260704,6.2560413051497624e-15,True
2,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.0656325579842209,0.051107839600260704,6.2560413051497624e-15,True
2,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.6,0.06564697382633698,0.04600981446649415,1.3435894815500816e-07,True
2,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.6,0.06564700686572805,0.0460326278718458,1.1969891554252902e-07,True
2,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.6,0.06584875762743538,0.0462835036032422,2.032351434598261e-08,True
2,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.6,0.06584875762743538,0.04628487501964837,1.9174023367555294e-08,True
