scheme,replicate,raw_r68,winner_r68,delta_r68,ratio_r68,raw_r90,winner_r90,delta_r90,ratio_r90
event_random5,130,0.07890781603404556,0.05925103469233344,-0.019656781341712122,0.7508892993156596,0.14758116278280697,0.12013696994885578,-0.027444192833951192,0.8140400013358046
event_random5,131,0.08063957889085765,0.057612573288973734,-0.02302700560188392,0.7144453639440501,0.15265496557433753,0.11834154398462636,-0.034313421589711166,0.7752223685576625
event_random5,132,0.07992867141509438,0.05752777931155029,-0.022400892103544096,0.7197389659186337,0.14517251443918916,0.11762881562287308,-0.027543698816316076,0.8102691895727013
event_random5,133,0.08110400516046512,0.05921113086235668,-0.02189287429810844,0.7300642026889651,0.15630262421850263,0.1190678251885473,-0.03723479902995533,0.7617775183486165
event_random5,134,0.08127515118557072,0.05716078513877167,-0.024114366046799042,0.7032996470010847,0.149088287675832,0.11537306689502437,-0.03371522078080762,0.7738573478413285
event_random5,135,0.08075126590414702,0.06132219753212334,-0.019429068372023683,0.75939611404871,0.15200891615822648,0.12172239045722835,-0.03028652570099813,0.8007582287510503
event_random5,136,0.07912443202565912,0.0578485976551411,-0.02127583437051802,0.7311091678532553,0.14898951727672405,0.11675976523914768,-0.03222975203757637,0.7836777202404462
event_random5,137,0.08030620632261046,0.058409532120469274,-0.021896674202141184,0.7273352184739412,0.14975953731635194,0.11663711026334998,-0.03312242705300196,0.7788292642555769
event_random5,138,0.07915418607406316,0.05682273560346148,-0.02233145047060168,0.7178740433297294,0.1506285125265981,0.11887866409663632,-0.03174984842996177,0.7892175399106105
event_random5,139,0.0798654543667361,0.05725101475965427,-0.02261443960708183,0.7168432861692862,0.15290158255016942,0.11778809681655701,-0.03511348573361241,0.770352372107783
event_random5,140,0.08168308437223809,0.05999175305010023,-0.02169133132213786,0.7344452466646795,0.1521669874321916,0.12082277666776323,-0.031344210764428365,0.794014383189416
event_random5,141,0.07842961339255619,0.057755565609552674,-0.020674047783003517,0.7363999784172631,0.1519830457842319,0.11897007991351216,-0.03301296587071975,0.7827852067289941
event_random5,142,0.08126324689379913,0.05966171206024047,-0.021601534833558658,0.7341782951179744,0.14897064310994337,0.11952593717800375,-0.029444705931939624,0.8023455808658299
event_random5,143,0.08016884567631408,0.060344824123652545,-0.019824021552661532,0.7527216291388046,0.14760863563368987,0.12380791393890908,-0.023800721694780785,0.8387579317930599
event_random5,144,0.07853104282697805,0.058541302123384764,-0.019989740703593287,0.7454542817209842,0.1498359737016741,0.11782376720017496,-0.032012206501499135,0.7863516636850109
event_random5,145,0.0806750422313438,0.05733561892260456,-0.023339423308739234,0.7106983440825343,0.151450047149886,0.12059700401574501,-0.030853043134140987,0.7962823801328595
event_random5,146,0.07878972284270656,0.05621042621924241,-0.022579296623464154,0.7134233271953402,0.14786467259822997,0.11615366088131683,-0.03171101171691314,0.7855403108822577
event_random5,147,0.07978491775052775,0.05831232511936367,-0.021472592631164078,0.7308690259190993,0.14835341819093378,0.11786646110479894,-0.030486957086134844,0.7944977779554933
event_random5,148,0.08210351994230834,0.05914511824840794,-0.022958401693900406,0.7203725040043036,0.1532313331992809,0.11894118621121172,-0.034290146988069176,0.77621974388571
event_random5,149,0.08335100429324675,0.05917285195877257,-0.024178152334474186,0.7099236831099209,0.1555365467156777,0.1212112197468955,-0.03432532696878221,0.7793102155499875
event_random5,150,0.08015519324668004,0.057467078635291984,-0.022688114611388054,0.7169476649932751,0.15237837999614356,0.12081898935313583,-0.03155939064300774,0.7928880025906139
event_random5,151,0.08155409838281005,0.060910046302584904,-0.02064405208022515,0.7468667732267334,0.1557195727762702,0.11977197990120778,-0.03594759287506241,0.7691517370991632
event_random5,152,0.08123955530049311,0.05710047073992472,-0.02413908456056839,0.7028653779395827,0.15346034711476997,0.11604281982849916,-0.037417527286270805,0.7561746210681579
event_random5,153,0.0808120100021851,0.05939814008533798,-0.02141386991684712,0.735016244290074,0.15238463074180916,0.12013456612153137,-0.032250064620277796,0.7883640596608443
event_random5,154,0.08232879485222971,0.058673002919531675,-0.02365579193269804,0.7126668503388476,0.1528191718128733,0.11827148152531936,-0.034547690287553945,0.7739309153575475
event_random5,155,0.07840677364631383,0.05922161924940941,-0.019185154396904422,0.7553125386405135,0.1489534965752499,0.12172953828487348,-0.02722395829037641,0.8172318279442126
event_random5,156,0.07975578497810401,0.061433666851769375,-0.018322118126334636,0.7702722362852457,0.1515815873893007,0.12042374721265112,-0.031157840176649576,0.7944483844424443
event_random5,157,0.0818767195627434,0.05965124110312681,-0.02222547845961658,0.7285494756224954,0.15299637946034614,0.12290920326975019,-0.03008717619059595,0.8033471360778573
event_random5,158,0.08033317922386592,0.05851970232350142,-0.021813476900364497,0.7284624222380582,0.1539576947491681,0.11909518580622906,-0.03486250894293903,0.7735578660115823
event_random5,159,0.08162460914566465,0.05891784228112709,-0.022706766864537556,0.7218146940953091,0.15614029824720155,0.11988049250849793,-0.03625980573870362,0.7677741995772479
event_random5,160,0.08013334108379347,0.057468748663817446,-0.022664592419976023,0.7171640154592305,0.15180179254372284,0.11820880593430746,-0.03359298660941537,0.7787049411834862
event_random5,161,0.08350934457876118,0.058977316828833365,-0.024532027749927812,0.7062361359237992,0.1550802391458245,0.11967317553194322,-0.03540706361388128,0.7716855235141376
event_random5,162,0.0779146192966842,0.058982248013042006,-0.01893237128364219,0.7570113098858728,0.14869562321961632,0.11977740326848525,-0.02891821995113107,0.8055207051493355
event_random5,163,0.0810001242809903,0.05773036681036152,-0.023269757470628774,0.712719484356521,0.14835572970685426,0.11799416833500176,-0.030361561371852502,0.795346216611614
event_random5,164,0.0800300223979088,0.05722739962621809,-0.022802622771690706,0.7150741423222875,0.14727301547295155,0.11738219542875784,-0.029890820044193703,0.797038038854555
event_random5,165,0.07980569253955144,0.059402947360151635,-0.020402745179399807,0.7443447387003342,0.15306442422941552,0.11827525099741559,-0.034789173231999926,0.772715486259189
event_random5,166,0.07978791792627318,0.0587232773381081,-0.02106464058816508,0.7359921008638233,0.14790766238205677,0.11922691715338861,-0.02868074522866816,0.8060902000155772
event_random5,167,0.07965315496977603,0.059279736150278074,-0.020373418819497953,0.7442233289161171,0.14895774905399803,0.11901903095045824,-0.02993871810353979,0.7990120131804165
event_random5,168,0.08027614095457095,0.058467032821258105,-0.02180910813331284,0.7283239095205781,0.15079228652309318,0.11939338673374253,-0.03139889978935065,0.7917738333084959
