bootstrap,baseline_resolution,improved_resolution,delta,ratio
115,0.06408587922551279,0.08102973658761949,0.0169438573621067,1.2643929921361101
116,0.06560766542334667,0.06772624352026324,0.002118578096916568,1.0322916245113436
117,0.06568141349253641,0.06703507903731959,0.0013536655447831808,1.0206095678031808
118,0.06547760185292861,0.06493009015366344,-0.0005475116992651741,0.9916381833822356
119,0.06987790551793487,0.06945837366826862,-0.0004195318496662409,0.993996216020548
120,0.0675460145820917,0.06708958059161277,-0.0004564339904789272,0.9932426214440202
121,0.06714039313486082,0.06336189590715934,-0.0037784972277014883,0.9437224441013944
122,0.06448451957915738,0.06788058323791818,0.0033960636587608006,1.052664789641365
123,0.06487264497028773,0.06790143727260742,0.0030287923023196855,1.0466882813812648
124,0.06574621078183586,0.07024115044163642,0.004494939659800565,1.06836804138745
125,0.06275936286866354,0.06233284068064096,-0.00042652218802258224,0.9932038477045223
126,0.06968414923353629,0.06882851503151742,-0.0008556342020188679,0.9877212506512588
127,0.06753417284803498,0.06685376065092125,-0.0006804121971137334,0.9899249199565264
128,0.06881223745005015,0.08125392320916261,0.012441685759112461,1.1808062958008554
129,0.065207992774759,0.0675101659954666,0.0023021732207075957,1.0353050772266483
130,0.06856169672633983,0.06946528501557084,0.000903588289231011,1.0131791996460886
131,0.06899854853424442,0.06969723746824262,0.0006986889339982011,1.010126139590479
132,0.061228333363832536,0.06625239441767604,0.005024061053843502,1.082054512638608
133,0.06601892041473403,0.06710083743367158,0.0010819170189375477,1.0163879841133556
134,0.06569676795296585,0.06953974361831708,0.003842975665351231,1.0584956579310343
135,0.064030706706026,0.07008469700311809,0.006053990297092096,1.094548234878725
136,0.06316494212765261,0.06747351045322066,0.0043085683255680435,1.0682113872100236
137,0.06188000881410006,0.06337938787614031,0.00149937906204025,1.0242304274154952
138,0.06948259342224455,0.06986519842922544,0.0003826050069808823,1.0055064871378043
139,0.06175755578755169,0.06487563750701646,0.0031180817194647673,1.050489072627665
140,0.06729311307402332,0.07292980220118594,0.005636689127162628,1.0837632392034262
141,0.06479701879837095,0.06802366850675762,0.003226649708386667,1.0497962679182362
142,0.06773778375398741,0.06803281473789798,0.0002950309839105658,1.0043554862229043
143,0.06659408139917582,0.06734144837260513,0.0007473669734293087,1.0112227236674303
144,0.06184077872932049,0.06617430024847341,0.004333521519152922,1.070075468132782
145,0.06906930108713805,0.06987244286495489,0.0008031417778168459,1.0116280571132985
146,0.06793381434442028,0.06890774580892711,0.0009739314645068331,1.0143364754931772
147,0.06569322904519927,0.07175603062807212,0.006062801582872854,1.0922895962185302
148,0.0654403148518055,0.07052282568818802,0.005082510836382517,1.0776663567082805
149,0.06428444946992437,0.0696034673011333,0.00531901783120893,1.0827419053140908
150,0.06733376392864476,0.06719916802461236,-0.00013459590403240573,0.9980010637133692
151,0.0639392572692909,0.07066884014591467,0.006729582876623771,1.105249625410583
152,0.0674760295774577,0.07012233079606958,0.0026463012186118823,1.0392183896293736
