name,w_m06,w_s10,w_s02,sigma,sigma_gain,r68,r68_gain,r90,r90_gain,protocol_successes,background_applied,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_ratio_q01,background_ratio_q99,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safe,safety_pass_count
W_0.80_0.00_0.20,0.8,0.0,0.19999999999999996,0.04181122573735237,-0.0007257926180157526,0.06777858480088673,-0.0005495493372336124,0.13111278713707683,0.0008152685902516055,12,0.7495447296671639,0.999997159140719,1.0350877192982455,1.0350877192982455,0.9978738375971896,1.0024091892790203,9.901178548621381e-05,0.011530934433636175,10,False,11
W_0.30_0.05_0.65,0.30000000000000004,0.05,0.6499999999999999,0.04181284685802605,-0.000764593137313696,0.06765060414465641,0.0013397050384855724,0.1309658993626452,0.0019346713933466875,12,0.7864087658830187,0.9999833508717582,1.0310179117518568,1.0310179117518568,0.9954347868190778,1.004635668175413,0.00023294540432772237,0.013701779539993741,10,False,11
W_0.30_0.00_0.70,0.30000000000000004,0.0,0.7,0.04181461234336664,-0.0008068489355035346,0.06765083217948578,0.0013363387813347671,0.1310597146782163,0.0012197233479432912,12,0.7495447296671639,0.999982821501776,1.0567933595456531,1.0567933595456531,0.9953527176289196,1.004693768129099,0.00024042626745890416,0.011530934433636175,10,False,11
W_0.10_0.60_0.30,0.1,0.6000000000000001,0.29999999999999993,0.04181776682481869,-0.000882349495358703,0.06776555576634774,-0.0003572143294345853,0.13071246783723198,0.0038660231415634794,12,0.7864087658830187,0.9999759017350613,1.016210739614995,0.9725274725274725,0.9941819539492365,1.0058254683569294,0.00015201946609355588,0.013701779539993741,10,False,11
W_0.80_0.20_0.00,0.8,0.2,0.0,0.04182050240155434,-0.000947823830271588,0.06778352035139434,-0.0006224080853267644,0.13097280083896087,0.0018820766014168155,12,0.7201913678687175,0.9999972741913353,1.059732664995823,1.059732664995823,0.9979110898040651,1.0024898738313215,5.262297329311494e-05,0.017645237849551187,10,False,11
W_0.30_0.20_0.50,0.30000000000000004,0.2,0.49999999999999994,0.04182191704162709,-0.0009816823642683215,0.06767572579838108,0.0009688584150771007,0.13103154719434687,0.0014343821956356306,12,0.7864087658830187,0.9999845100286572,1.0265567765567765,1.0124410124410124,0.9954676786534372,1.0045731442127814,0.00017824272132482832,0.013701779539993741,10,False,11
W_0.95_0.00_0.05,0.9500000000000001,0.0,0.04999999999999993,0.041826203099835785,-0.0010842665129620066,0.0677387989226688,3.777101827218132e-05,0.13121761231338058,1.641656431961014e-05,12,0.7495447296671639,0.9999982849868768,1.068840579710145,0.921875,0.9978558077663976,1.0022354976201215,2.046822289236694e-05,0.011530934433636175,10,False,11
W_0.30_0.25_0.45,0.30000000000000004,0.25,0.44999999999999996,0.041826894525874764,-0.001100815366976482,0.06767456275864632,0.000986027243341736,0.13099289482025278,0.0017289443269948856,12,0.7864087658830187,0.9999847473169035,1.0702947845804989,1.0052424639580604,0.9954671770679424,1.0045571297588554,0.00019140447972443297,0.013701779539993741,10,False,11
W_0.30_0.15_0.55,0.30000000000000004,0.15000000000000002,0.5499999999999999,0.041827954220139116,-0.0011261784928815466,0.06766936162529753,0.0010628065334886694,0.13104155914898474,0.0013580830609427608,12,0.7864087658830187,0.9999841993093244,1.028486394557823,1.028486394557823,0.995461779963386,1.0045922209774456,4.52604851302052e-05,0.013701779539993741,10,False,11
W_0.40_0.60_0.00,0.4,0.6000000000000001,0.0,0.0418295538374953,-0.0011644643435932966,0.06778039802442057,-0.0005763161986980236,0.1308860856020006,0.0025429163459087523,12,0.7201913678687175,0.9999875464593184,1.0265567765567765,1.0265567765567765,0.9960151527373684,1.0040570861719014,0.00018527011663271864,0.017645237849551187,10,False,11
W_0.10_0.80_0.10,0.1,0.8,0.09999999999999998,0.04183336318549445,-0.0012556387286677406,0.06774887632538278,-0.0001109919099238077,0.13074771176821315,0.003597436083960681,12,0.7864087658830187,0.9999746539715246,1.0894071914480077,1.0894071914480077,0.9941551995652043,1.0058668841419764,0.0001795684234449091,0.013701779539993741,10,False,11
W_0.40_0.00_0.60,0.4,0.0,0.6,0.04183423920850443,-0.001276605796854513,0.06774394240733736,-3.815726028766342e-05,0.13095163124850814,0.002043405881439364,12,0.7495447296671639,0.9999869902587577,1.0184523809523809,1.0184523809523809,0.9960059762586918,1.004024614669659,0.0002118903258938598,0.011530934433636175,10,False,11
