method,alpha,scale_train,validation_resolution,validation_mu,validation_sigma,validation_signal_fraction,fit_success
raw_bottom,0.47,0.9877683064935392,0.08251767977267274,1.0119776296484784,0.08350604598044155,0.9753360527979401,True
raw_bottom,0.49,0.9906744845015868,0.0785281780796218,1.0064148047276877,0.07903192100762366,0.9480030947600384,True
raw_bottom,0.51,0.9980849553387985,0.07643227919045588,0.9989458969669283,0.07635171169313663,0.9464156202592772,True
raw_bottom,0.53,0.9993872481238912,0.07574683254793436,0.9961597298674177,0.07545594424926282,0.9593792615723524,True
raw_bottom,0.55,0.9852784147165757,0.07195678692570354,1.009985705529097,0.0726753262107636,0.9292909116884585,True
raw_bottom,0.5700000000000001,0.9790196775724438,0.06923216728349371,1.0135629245504292,0.07017115794482243,0.9110458663917222,True
raw_bottom,0.5900000000000001,0.9800261445228978,0.06780582450504506,1.0110536356261772,0.06855532538245634,0.8976696851347584,True
raw_bottom,0.61,0.9764393813797733,0.0670421634642549,1.0135004595345882,0.06794726347921533,0.892835364079583,True
raw_bottom,0.63,0.9690057922698845,0.06570138435212425,1.018188762170396,0.06689641120637081,0.8789581921318769,True
raw_bottom,0.65,0.9630165463601487,0.065931706424676,1.0227018995973225,0.06742848140420914,0.8819536834923972,True
raw_bottom,0.67,0.990345576571763,0.06875890607650173,0.9968027944589054,0.06853906972099434,0.8702435440745703,True
raw_bottom,0.6900000000000001,0.9876865020642294,0.07052875604317213,0.9985185213316674,0.07042426919559014,0.8734021523183062,True
raw_bottom,0.7100000000000001,0.9725911523402231,0.06916449702972352,1.0078494580600468,0.06970740084840256,0.8423169869147302,True
raw_bottom,0.7300000000000001,0.9677688831897818,0.07052843986189923,1.010142759123652,0.07124379283878546,0.8339314008128823,True
raw_bottom,0.75,0.9670493523802088,0.06994860752848482,1.0056992309474178,0.07034726079723994,0.7843528773688505,True
raw_bottom,0.77,0.9644631639321914,0.07117613136096171,1.0047615218651582,0.0715150380667143,0.7639989065017441,True
raw_bottom,0.79,0.9623546485996248,0.07424937365160812,1.0038310107961819,0.07453382380367718,0.7688453101072952,True
raw_bottom,0.81,0.9606379281891705,0.07855306710833129,1.0028332492250842,0.07877562752484396,0.7945068932667918,True
raw_bottom,0.8300000000000001,0.9623619428973478,0.08041774764369639,0.9954437942630182,0.08005134784052702,0.7645681031960803,True
raw_bottom,0.8500000000000001,0.9735242626927427,0.08627813474472232,0.9832113223392166,0.08482963895131954,0.7698527636112769,True
raw_bottom,0.87,0.9560917366767863,0.08861862209424576,0.9952364186308427,0.08819648007707721,0.7900537569589833,True
raw_bottom,0.89,0.9528187668662409,0.09305114369321513,0.9947292137567274,0.09256069100511614,0.7858321506863348,True
raw_bottom,0.91,0.9433584425175379,0.09586438192182668,0.9980387976657455,0.09567637247222974,0.789248086044671,True
raw_bottom,0.93,0.9497181659404388,0.10186010994050217,0.9872323923779455,0.1005596000244425,0.7315104402009148,True
raw_bottom,0.9500000000000001,0.9554545564227606,0.10245408036124523,0.9782493238572586,0.10022563483980539,0.6737152039083103,True
raw_bottom,0.97,0.948584603684337,0.10190688290104352,0.9806963403824778,0.09993970712083908,0.6243615921610236,True
corrected_bottom,0.03,0.9876448099571862,0.09110563457976724,1.0241655757308479,0.09330725469171156,0.723034854668173,True
corrected_bottom,0.05,0.9897044069342749,0.09991383480126999,1.0230371925759234,0.10221556905458584,0.9316306536591462,True
corrected_bottom,0.07,0.9910280719655333,0.09545518200964104,1.0212105926129647,0.09747984298804392,0.8882549217726703,True
corrected_bottom,0.09,0.9885072197989324,0.09287591539784475,1.023561943943655,0.0950642525101644,0.9133288136125979,True
corrected_bottom,0.11,0.9926392953085377,0.09008733626768653,1.0192789147404773,0.09182412234278796,0.9187086627132505,True
corrected_bottom,0.13,0.9890673615071174,0.08684425082131093,1.0229811032943243,0.0888400275199537,0.9038894205650553,True
