bootstrap,baseline_resolution,improved_resolution,delta,ratio
136,0.05672138574618752,0.04261813570424497,-0.014103250041942551,0.7513592121135636
137,0.051297310758365106,0.04235558592381091,-0.008941724834554195,0.8256882338983812
138,0.06039279352366784,0.04626816526973801,-0.014124628253929829,0.7661206341052197
139,0.06968056514339388,0.050298879314074424,-0.019381685829319456,0.7218494742481727
140,0.05830865219322309,0.04715267554554217,-0.01115597664768092,0.8086737348907969
141,0.06505052805498447,0.04947124821214427,-0.015579279842840202,0.7605049442539238
142,0.05582079776218267,0.03893794735184342,-0.016882850410339247,0.6975526848923503
143,0.06380407074738803,0.048179025134052506,-0.015625045613335525,0.7551089541731917
144,0.06049653564948769,0.04969171088711973,-0.010804824762367958,0.8213976280398883
145,0.06356612291840731,0.051684797812507975,-0.011881325105899336,0.8130871514509378
146,0.06648877582810706,0.045560304434050174,-0.02092847139405688,0.6852330166498612
147,0.06087478819066889,0.050377817827970545,-0.010496970362698345,0.827564568605639
148,0.06525280616189603,0.0528418208118927,-0.012410985350003338,0.80980150770511
149,0.06354491400421675,0.049560150513112036,-0.01398476349110471,0.7799231659959961
150,0.06707999838034687,0.049898178726350335,-0.01718181965399653,0.7438607622413052
151,0.06426387646169816,0.04799860524056824,-0.016265271221129925,0.7468986915094645
152,0.06177473772958065,0.04685113158905255,-0.014923606140528102,0.7584189477929264
153,0.054704450499580615,0.04646865627030392,-0.008235794229276693,0.8494492833020993
154,0.06410867316997515,0.04934884657894671,-0.014759826591028438,0.7697686465621457
155,0.06867883530379637,0.05366980452940308,-0.015009030774393292,0.781460609982656
156,0.053892070982334866,0.04102934924295901,-0.01286272173937586,0.7613244118305994
157,0.06393027383103625,0.04695108616663756,-0.01697918766439869,0.7344108409534796
158,0.06480396201795156,0.04480227855716424,-0.020001683460787324,0.6913509168583459
159,0.06534466976852447,0.0478042070407236,-0.017540462727800875,0.731570106790105
160,0.05785245609072529,0.05064571943926488,-0.007206736651460412,0.8754290286282976
161,0.05734701937212175,0.04497884886281986,-0.01236817050930189,0.784327578927067
162,0.06042266922367872,0.04835684535629913,-0.012065823867379588,0.8003096516191116
163,0.061800216897666654,0.04815224964531235,-0.013647967252354301,0.7791598810251167
164,0.05995565400411202,0.0504152403373061,-0.00954041366680592,0.8408754966437094
165,0.05805796059928132,0.04515367274676269,-0.012904287852518626,0.7777343930217493
166,0.05958744928623833,0.04536131627959979,-0.014226133006638539,0.7612562179276895
167,0.0616743084969662,0.04724888893539404,-0.014425419561572159,0.7661032622314403
168,0.060282229683289536,0.042331572214603076,-0.01795065746868646,0.7022230670133548
169,0.0600829117650306,0.04969053277087191,-0.010392378994158687,0.8270327004989254
170,0.061813902009107385,0.04670420020521832,-0.015109701803889063,0.7555614301510546
171,0.06617381177949985,0.047630794247261146,-0.018543017532238706,0.7197831433071051
172,0.06433998031428768,0.05209227464943167,-0.012247705664856015,0.8096408235590302
173,0.061423953375350226,0.04905678334630424,-0.012367170029045985,0.798658839924019
174,0.06696814968951076,0.0490363131528155,-0.017931836536695257,0.7322333583974783
175,0.0595740595423212,0.045204883169936816,-0.014369176372384385,0.758801456829099
176,0.06067378602866056,0.04646794460168066,-0.0142058414269799,0.7658652548850426
