method,bootstrap,baseline_resolution,improved_resolution,delta,ratio
exploratory_ub_bottom_stretch,52,0.048043350963047925,0.046863937794982144,-0.0011794131680657807,0.9754510635827023
exploratory_ub_bottom_stretch,53,0.04975166910714536,0.04852523975431593,-0.0012264293528294334,0.9753489807510137
exploratory_ub_bottom_stretch,54,0.048729435037350964,0.047395491838764806,-0.0013339431985861586,0.9726255147927798
exploratory_ub_bottom_stretch,55,0.04908808012431095,0.047874821129108715,-0.001213258995202235,0.9752840406035483
exploratory_ub_bottom_stretch,56,0.04946587007119316,0.04869459420967324,-0.0007712758615199197,0.9844079188254473
exploratory_ub_bottom_stretch,57,0.04808082123004782,0.04631207134412491,-0.0017687498859229045,0.963212985122277
exploratory_ub_bottom_stretch,58,0.04796407119816117,0.04635456075381454,-0.0016095104443466304,0.9664434147448198
exploratory_ub_bottom_stretch,59,0.04850463855898845,0.04714174011939837,-0.0013628984395900809,0.9719016885790706
exploratory_ub_bottom_stretch,60,0.047280966896774884,0.04600437706606718,-0.0012765898307077056,0.9729999212263406
exploratory_ub_bottom_stretch,61,0.04743442974494234,0.04647429769683087,-0.0009601320481114686,0.9797587521706458
exploratory_ub_bottom_stretch,62,0.04813595893290244,0.04686899344912256,-0.0012669654837798791,0.9736794381608576
exploratory_ub_bottom_stretch,63,0.04891382363571362,0.04764951600868039,-0.0012643076270332301,0.974152345225571
exploratory_ub_bottom_stretch,64,0.0488402759099263,0.0469670114050635,-0.0018732645048628038,0.9616450875847309
exploratory_ub_bottom_stretch,65,0.048680323552614875,0.04761229060915783,-0.0010680329434570451,0.9780602743467247
exploratory_ub_bottom_stretch,66,0.048045267665596685,0.047039294129627936,-0.0010059735359687488,0.9790619641674078
exploratory_ub_bottom_stretch,67,0.04664615519140764,0.04540659821834749,-0.0012395569730601491,0.9734263849191052
exploratory_ub_bottom_stretch,68,0.04896287275161254,0.04806140194835204,-0.0009014708032605012,0.981588686435258
exploratory_ub_bottom_stretch,69,0.048393158750972436,0.04745912835709537,-0.0009340303938770653,0.9806991232235218
exploratory_ub_bottom_stretch,70,0.04659097863954366,0.04528335209466657,-0.0013076265448770871,0.9719339111763742
exploratory_ub_bottom_stretch,71,0.04831912037127162,0.04733966752441314,-0.0009794528468584779,0.9797294975708867
exploratory_ub_bottom_stretch,72,0.04616999977199148,0.04490726687800108,-0.0012627328939903981,0.9726503595359248
exploratory_ub_bottom_stretch,73,0.048262219596868904,0.047210173582872564,-0.0010520460139963397,0.978201458142953
exploratory_ub_bottom_stretch,74,0.0478126950005161,0.04637049060596552,-0.0014422043945505822,0.9698363709777286
exploratory_ub_bottom_stretch,75,0.04785276012992434,0.04670524842790731,-0.0011475117020170317,0.9760199474617255
exploratory_ub_bottom_stretch,76,0.04678561283662805,0.0453904896086688,-0.0013951232279592468,0.9701805075669113
exploratory_ub_bottom_stretch,77,0.048245414835782326,0.04685846453059859,-0.0013869503051837373,0.9712521840696232
exploratory_ub_bottom_stretch,78,0.04747420202474844,0.045685120203559915,-0.0017890818211885248,0.9623146520660659
exploratory_ub_bottom_stretch,79,0.04703772267360069,0.04545627607798781,-0.0015814465956128856,0.9663791844986481
exploratory_ub_bottom_stretch,80,0.0496719382243803,0.04855710869888361,-0.0011148295254966856,0.977556150105101
exploratory_ub_bottom_stretch,81,0.04825774370204083,0.04718486511673327,-0.0010728785853075587,0.9777677424802149
exploratory_ub_bottom_stretch,82,0.049327499432922084,0.0480080132428653,-0.0013194861900567845,0.973250495053959
exploratory_ub_bottom_stretch,83,0.04840116609347465,0.04720840402544031,-0.001192762068034335,0.9753567493450299
exploratory_ub_bottom_stretch,84,0.04882468569288212,0.046950173586398226,-0.001874512106483893,0.9616072877913647
exploratory_ub_bottom_stretch,85,0.047814281662205624,0.047043956236411694,-0.0007703254257939302,0.983889218889953
