method,bootstrap,baseline_resolution,improved_resolution,delta,ratio
documented_corrected_lifetime,202,0.06561113797208903,0.050968381128963965,-0.01464275684312507,0.7768251352483156
documented_corrected_lifetime,203,0.06116536024299094,0.04813648963438866,-0.013028870608602285,0.786989391432624
documented_corrected_lifetime,204,0.06443997066799906,0.050771112028184656,-0.013668858639814402,0.787882295753397
documented_corrected_lifetime,205,0.065236897949523,0.05239857274303882,-0.012838325206484182,0.8032045420611841
documented_corrected_lifetime,206,0.06409637334199825,0.051946218774693645,-0.012150154567304602,0.8104392817597469
documented_corrected_lifetime,207,0.06619105769166583,0.0489646006872457,-0.01722645700442013,0.7397464611509127
documented_corrected_lifetime,208,0.06467505405023748,0.05179911931837225,-0.012875934731865227,0.8009134291273476
documented_corrected_lifetime,209,0.06260708683451904,0.049583843493742064,-0.01302324334077698,0.7919845180594398
documented_corrected_lifetime,210,0.06414512115729071,0.050776163426637884,-0.013368957730652824,0.79158262562369
documented_corrected_lifetime,211,0.06386268802648623,0.048949382431717085,-0.014913305594769145,0.7664785799717037
documented_corrected_lifetime,212,0.06143882001548065,0.04780931780045344,-0.013629502215027213,0.7781613935359922
documented_corrected_lifetime,213,0.0656387608621448,0.05065737462687808,-0.014981386235266722,0.7717600692260053
documented_corrected_lifetime,214,0.06507775486854456,0.048755039695326574,-0.016322715173217983,0.7491813415169367
documented_corrected_lifetime,215,0.06366733241545461,0.05140029204825581,-0.012267040367198799,0.8073259880412219
documented_corrected_lifetime,216,0.06628092024690514,0.04984691868784619,-0.016434001559058956,0.7520553200251273
documented_corrected_lifetime,217,0.06416395414683013,0.04791361499053579,-0.016250339156294334,0.7467372550153668
documented_corrected_lifetime,218,0.06298710715195151,0.04932546122143865,-0.013661645930512854,0.7831040898964419
documented_corrected_lifetime,219,0.062119283674602045,0.047169921314625926,-0.014949362359976119,0.7593442571185302
documented_corrected_lifetime,220,0.06462427595013945,0.05050371985099744,-0.014120556099142006,0.7814976509750508
documented_corrected_lifetime,221,0.06545461241913988,0.0503139871659876,-0.015140625253152282,0.768685128617079
documented_corrected_lifetime,222,0.06358680932407094,0.05140455027828885,-0.012182259045782094,0.8084153116773785
documented_corrected_lifetime,223,0.06631152364099324,0.04956326136796437,-0.01674826227302887,0.7474305919480452
documented_corrected_lifetime,224,0.06464472963930958,0.051434692444661284,-0.013210037194648291,0.7956517527669348
documented_corrected_lifetime,225,0.06420910963149581,0.051084667085546494,-0.01312444254594932,0.7955984342210607
documented_corrected_lifetime,226,0.06657866775434283,0.050604987539836395,-0.015973680214506437,0.7600781037937712
documented_corrected_lifetime,227,0.06361544338078809,0.049562652880889846,-0.014052790499898243,0.7790978140986722
documented_corrected_lifetime,228,0.06679899671295952,0.050286275098432906,-0.016512721614526618,0.7527998558798261
documented_corrected_lifetime,229,0.0653447084045503,0.052340389818420326,-0.013004318586129972,0.8009889568162123
documented_corrected_lifetime,230,0.06669443703725846,0.051564335748900646,-0.01513010128835781,0.7731429792277058
documented_corrected_lifetime,231,0.06175986655480579,0.04889207144438858,-0.012867795110417211,0.7916479450453748
documented_corrected_lifetime,232,0.06349237929042906,0.04965053426134832,-0.013841845029080736,0.7819920251253322
documented_corrected_lifetime,233,0.06429236391033381,0.04990144622646286,-0.014390917683870956,0.7761644337118878
documented_corrected_lifetime,234,0.0639455024259257,0.05065015487734115,-0.013295347548584552,0.7920831482403966
documented_corrected_lifetime,235,0.06226462653641732,0.048764875000531234,-0.013499751535886083,0.7831874647478958
documented_corrected_lifetime,236,0.06336066842082339,0.0478868475375942,-0.015473820883229183,0.7557819185167602
documented_corrected_lifetime,237,0.06163297541240237,0.048097128223488675,-0.013535847188913694,0.7803797869834809
documented_corrected_lifetime,238,0.06479495435556412,0.05038531493988376,-0.01440963941568036,0.7776117051243363
documented_corrected_lifetime,239,0.061689350095634074,0.048480400233703085,-0.01320894986193099,0.7858795749760084
documented_corrected_lifetime,240,0.06724667705748745,0.05258616788470399,-0.014660509172783463,0.7819890912936773
documented_corrected_lifetime,241,0.06649957427849199,0.05056779533803808,-0.015931778940453903,0.760422843103723
documented_corrected_lifetime,242,0.06143678643434199,0.04969079263546233,-0.01174599379887966,0.808811715576421
documented_corrected_lifetime,243,0.06294890339222933,0.047694264647515354,-0.015254638744713979,0.7576663305846075
documented_corrected_lifetime,244,0.06718849019452922,0.05046902991070005,-0.016719460283829167,0.7511558864409408
documented_corrected_lifetime,245,0.061186089726600716,0.04724966435554151,-0.013936425371059206,0.7722288606228691
documented_corrected_lifetime,246,0.06784442585211098,0.05300331305808005,-0.014841112794030928,0.7812478680800989
documented_corrected_lifetime,247,0.06697000312333838,0.05073831428081668,-0.0162316888425217,0.7576274737119563
documented_corrected_lifetime,248,0.06333738491718799,0.048261557846381926,-0.015075827070806062,0.7619758521682365
documented_corrected_lifetime,249,0.0664419387840343,0.049769473971415366,-0.016672464812618935,0.7490671537022449
