bootstrap,baseline_resolution,improved_resolution,delta,ratio
175,0.0595740595423212,0.04696287281181448,-0.012611186730506721,0.7883107710404094
176,0.06067378602866056,0.04549849914801227,-0.015175286880648294,0.749887259821236
177,0.06714219567403648,0.047459522440133406,-0.019682673233903075,0.7068509148932367
178,0.0634373259968888,0.04779549908530355,-0.01564182691158525,0.7534286531504751
179,0.06310861193562184,0.04606923448297744,-0.017039377452644396,0.7299991723787784
180,0.06068033565762746,0.04645866194360726,-0.014221673714020201,0.7656296136154852
181,0.06902092626476695,0.04705763229289303,-0.021963293971873923,0.6817878988232949
182,0.06580304246228233,0.04777258554920163,-0.0180304569130807,0.7259935674947615
183,0.05981177761509699,0.04820258740173477,-0.011609190213362222,0.8059046114952456
184,0.05580748693580777,0.046016949466812326,-0.009790537468995442,0.8245658780468479
185,0.062222916164652635,0.04445687076424546,-0.017766045400407174,0.7144774546825299
186,0.06808029466438302,0.04692112397887856,-0.021159170685504464,0.6892027158546639
187,0.06486570979925504,0.04568979339194374,-0.019175916407311304,0.7043751395512898
188,0.06549301371160629,0.04614515283064101,-0.01934786088096528,0.704581301355864
189,0.055211631197949126,0.044021820686873256,-0.01118981051107587,0.7973287463477166
190,0.05895166156815223,0.0445363039907121,-0.014415357577440127,0.7554715644312252
191,0.06542159506035895,0.04664052371419598,-0.01878107134616297,0.7129224481788426
192,0.06092831339639729,0.0469447618390849,-0.013983551557312388,0.7704917340098365
193,0.05552345332148479,0.04613334687183631,-0.00939010644964848,0.8308803597773523
194,0.059753927400405374,0.047888384233091504,-0.01186554316731387,0.8014265558177625
195,0.06736841001069509,0.04612907921001776,-0.02123933080067733,0.684728631753288
196,0.06394726851182546,0.04517571195385359,-0.018771556557971872,0.706452566390689
197,0.07000536068901594,0.04736620880040066,-0.022639151888615282,0.6766083101952015
198,0.06472463941473211,0.047424102433750455,-0.017300536980981655,0.7327055486531788
199,0.06569074952078424,0.046354282524112826,-0.019336466996671416,0.7056439888761895
200,0.0697793678223632,0.04788948693036413,-0.021889880891999072,0.6862986642738872
201,0.06192491809440208,0.04257002708117733,-0.019354891013224747,0.6874458358795246
202,0.062400246652506826,0.04888486733987766,-0.013515379312629167,0.7834082389466611
203,0.06418457618707514,0.046198774242750006,-0.017985801944325135,0.7197799999192495
204,0.06753127107002017,0.05041765410510024,-0.017113616964919934,0.7465823359495842
205,0.061751929275848466,0.04509164948008436,-0.016660279795764107,0.7302063272980195
206,0.0672891167491574,0.046667592788834235,-0.020621523960323164,0.6935384954271764
207,0.072096545474975,0.04833580309545858,-0.02376074237951642,0.6704316105164309
208,0.053674504715977754,0.0450387420521897,-0.008635762663788057,0.8391086660326951
209,0.05767906117838443,0.05106279087222877,-0.006616270306155657,0.8852916436054069
210,0.06236144935438933,0.04740665085793316,-0.014954798496456173,0.7601916143502272
211,0.05786988804832441,0.04660064276619981,-0.011269245282124599,0.8052658185079918
212,0.06145631244535359,0.04621123111519834,-0.015245081330155251,0.7519362824817867
213,0.05741668193652705,0.04837241526373658,-0.009044266672790464,0.8424801578957712
214,0.059616600666697925,0.04589415260784372,-0.013722448058854204,0.7698216955446167
215,0.06514981321151594,0.04680848344323484,-0.018341329768281102,0.7184745609517869
216,0.06072955879996167,0.0483210761450267,-0.012408482654934966,0.7956763905397778
217,0.06664867441304231,0.04657492890374839,-0.020073745509293923,0.6988125317408302
218,0.06978615425263382,0.045882852485829656,-0.023903301766804164,0.6574778761948754
219,0.056820814037964774,0.04399327998340913,-0.012827534054555646,0.7742458591672949
220,0.06281787044860467,0.047661073090329305,-0.01515679735827536,0.758718383000963
221,0.0541425691858153,0.04716536786249692,-0.006977201323318381,0.8711327994175363
222,0.053339794122273965,0.04299295315426772,-0.010346840968006248,0.8060202305189336
223,0.07199362865449897,0.047441005405257024,-0.02455262324924195,0.6589611649237571
224,0.05964115908225203,0.04814167768578502,-0.011499481396467011,0.8071888344656766
225,0.06401452180848667,0.04997451048429987,-0.0140400113241868,0.7806745887098784
