base,config,repeat,sigma_over_mu,fit_p,r68,r90
current_k100,flexible_l2,0,0.024035423879292167,4.3349113330514166e-69,0.02518664118550085,0.05560225444295758
current_k100,flexible_l2,1,0.023863139272713562,1.6714708763617795e-68,0.025331798099752428,0.05568179989431776
current_k100,flexible_l2,2,0.023742030497390407,3.994759437974465e-66,0.02526518610934249,0.055946106639495626
current_k100,flexible_l2,3,0.024078464267095506,4.010924906574908e-61,0.02525118635802299,0.055048200910254176
current_k100,flexible_l2,4,0.023728499168660853,5.169971854669039e-80,0.025691496090701742,0.05495175141779813
current_k100,flexible_l2,5,0.023931919830655558,3.1586654847736286e-76,0.025157951767909702,0.054993096858620465
current_k100,flexible_l2,6,0.023993719829630715,8.823148655722933e-71,0.025476565500792258,0.05575359314761457
current_k100,flexible_l2,7,0.023573244788621762,5.588350431874235e-75,0.025199637779167026,0.056374921221098453
candidate_k104,conservative_lad,0,0.03706672894051309,1.6005559877208326e-16,0.0408778987863502,0.08531557609990163
candidate_k104,conservative_lad,1,0.03753264199270039,9.637112045692667e-19,0.04084145669161517,0.08544647994523212
candidate_k104,conservative_lad,2,0.03733617005259136,6.197969152999106e-19,0.04083428449828242,0.08490372676517244
candidate_k104,conservative_lad,3,0.037785554918893745,3.524231761301132e-21,0.040768420905448265,0.08507646187116999
candidate_k104,conservative_lad,4,0.037681990032661226,2.6458262387949384e-25,0.04071724452423978,0.08537289924646392
candidate_k104,conservative_lad,5,0.03700526951607319,3.8784686604898086e-24,0.04077994982524326,0.08416938537952955
candidate_k104,conservative_lad,6,0.037454674546145206,3.5089056778923434e-20,0.04077892264898596,0.0859745424402329
candidate_k104,conservative_lad,7,0.03757210147155594,5.790527008225455e-16,0.04092178701706092,0.08449753280547982
candidate_k104,balanced_lad,0,0.030094013126054843,8.033299866581727e-34,0.033313311343823294,0.07274168593030093
candidate_k104,balanced_lad,1,0.03056647097942109,2.8516705086670548e-39,0.033647591371925946,0.07303727872879222
candidate_k104,balanced_lad,2,0.030074085873642572,3.61310257758476e-33,0.03375633766994301,0.07217643120371699
candidate_k104,balanced_lad,3,0.030470812975384575,5.2945199296160015e-39,0.033280012628111505,0.07291987575327137
candidate_k104,balanced_lad,4,0.03052284867155131,2.925363103085427e-27,0.033381138272291506,0.07335189744983686
candidate_k104,balanced_lad,5,0.030172664462040148,3.878362395149265e-33,0.033512265934400334,0.07282452093139483
candidate_k104,balanced_lad,6,0.030643906041761624,1.2561066366550769e-27,0.03372905943957079,0.07240034737798902
candidate_k104,balanced_lad,7,0.03058485044700647,4.783258169874714e-31,0.03361547923130389,0.07231580720817392
candidate_k104,flexible_lad,0,0.02614144771770108,3.1994915838903516e-78,0.028656589544858096,0.06532820259411287
candidate_k104,flexible_lad,1,0.026152706060319872,1.678611883197128e-90,0.028869225991922712,0.06568989587864098
candidate_k104,flexible_lad,2,0.026377042163928933,2.5671993358525984e-73,0.028771986133715666,0.06575662986165101
candidate_k104,flexible_lad,3,0.026245773167595098,1.1120804179106752e-88,0.02897646759472142,0.06599482511509827
candidate_k104,flexible_lad,4,0.025796643492453007,3.305743256901034e-78,0.02909939257876502,0.06622062163042886
candidate_k104,flexible_lad,5,0.025698337804976698,8.672087944349613e-82,0.028469413607564765,0.06477184458241968
candidate_k104,flexible_lad,6,0.026492899362634503,5.4795649407816414e-67,0.028881723476883208,0.0651654133299717
candidate_k104,flexible_lad,7,0.02597926885412511,8.573001397523094e-61,0.028642730368460684,0.06525880548923806
candidate_k104,aggressive_lad,0,0.02148818378895035,1.326072988020958e-142,0.023881573111810907,0.056496579508576755
candidate_k104,aggressive_lad,1,0.02134758849346557,1.8135520238200293e-173,0.024004213967747323,0.05707418475129339
candidate_k104,aggressive_lad,2,0.021055296586258494,6.358633517785809e-184,0.02340408502693809,0.057274912050979024
candidate_k104,aggressive_lad,3,0.02181500414780924,2.6797214522224647e-154,0.024190644658054754,0.05731044583479528
candidate_k104,aggressive_lad,4,0.021259132147421846,5.07432700724375e-176,0.024074660669564034,0.05783776133680037
candidate_k104,aggressive_lad,5,0.021086424916621528,5.85511819773009e-173,0.023805805944440983,0.05720251711897562
candidate_k104,aggressive_lad,6,0.021688707382861112,2.734505710661211e-144,0.024206732939881202,0.05769907705477061
candidate_k104,aggressive_lad,7,0.020721564353422105,6.9280250949182575e-161,0.023644368374479533,0.05647726360937143
candidate_k104,balanced_l2,0,0.032767134428435096,1.8848648458698996e-23,0.03561349746787733,0.07179359274238234
candidate_k104,balanced_l2,1,0.03327676130007822,6.759628710574049e-16,0.035922527095517305,0.07126046760553245
candidate_k104,balanced_l2,2,0.03257792991050992,4.46431072072289e-18,0.035397198835185356,0.07165771017552673
candidate_k104,balanced_l2,3,0.03303697086829566,4.5793476688414995e-18,0.03580345445942585,0.07180363613232375
candidate_k104,balanced_l2,4,0.03280714503930069,2.9973050654693804e-16,0.03520223175868348,0.07216656172602179
candidate_k104,balanced_l2,5,0.03288452440491157,1.1563512607042831e-20,0.03574109517505682,0.07134882554406938
candidate_k104,balanced_l2,6,0.033188185135856654,5.3803284681789233e-20,0.035744500103762886,0.07186225931530371
candidate_k104,balanced_l2,7,0.03318093048631102,6.5744243574089e-23,0.03544673636235832,0.07115455528339557
candidate_k104,flexible_l2,0,0.024115163155017865,3.62031511356489e-70,0.025463981857229524,0.05590493734477605
candidate_k104,flexible_l2,1,0.024233970562981082,1.4721522383464968e-73,0.025628911205757936,0.05644437802878802
candidate_k104,flexible_l2,2,0.024025085369306868,3.1688956413758316e-69,0.025388646591132498,0.05656503746730156
candidate_k104,flexible_l2,3,0.023885623831872475,2.693079396470041e-69,0.02565956782689292,0.05605820056465593
candidate_k104,flexible_l2,4,0.024198126704852548,1.3253795373620921e-71,0.025666691948804547,0.055729674464495484
candidate_k104,flexible_l2,5,0.023951341325265843,1.846460264871524e-66,0.025354269565481435,0.05606119059529083
candidate_k104,flexible_l2,6,0.024064018892537956,2.803998054257575e-78,0.025581868242978655,0.05663267514650299
candidate_k104,flexible_l2,7,0.023877940929920138,1.0148782859252131e-72,0.025476574132648633,0.05705077684623977
