id,set,features,bins,shrink,cap,sigma_gain,r68_gain,r90_gain,protocol,bg_applied,bg_ood,bg_strong,rank,spike,spike2600,q01,q99,time_span,time_coverage,blocks,safe,passes
both_xy_b6_s3_c75,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,6,0.3,0.0075,-0.002700563161819547,-0.005100318874474263,0.002889383281027058,12,0.9039662534080971,0.004959102834507948,0.08810123977570862,0.9999605628990987,1.0974702380952381,1.0974702380952381,0.9933358215369653,1.006596902466303,0.0001536935082613322,0.008660527372379323,10,False,13
corrected_xy_b8_s6_c25,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,8,0.6,0.0025,-0.0032136164220049057,-0.00036536889847438303,-0.002247384663276897,12,0.24025927259632698,0.004928237049230928,0.7586604249189773,0.9999982909472171,1.0727272727272728,1.0727272727272728,0.9978175471483186,1.002204133194667,0.0001591797755695623,0.0157927332782824,10,False,13
both_xy_b8_s3_c25,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,8,0.3,0.0025,-0.0033912652634655593,0.000140767473639003,2.578346087156458e-05,12,0.3948042594783682,0.004959102834507948,0.6019342558773599,0.9999974240093472,1.1589285714285713,1.060197663971249,0.9977948634001194,1.0022325439788797,0.00010309109931583293,0.015832949741076296,10,False,13
both_xy_b6_s3_c50,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,6,0.3,0.005,-0.0034372363431030006,-0.00040800316616262933,-0.0006412779922084777,12,0.735994649930552,0.004959102834507948,0.2573280518545193,0.9999822424256345,1.1238095238095238,1.0854978354978355,0.99554812257504,1.0044887542523606,0.00017563585407476268,0.018345525189291223,10,False,13
both_xy_b8_s6_c25,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,8,0.6,0.0025,-0.003439555204001632,4.3095716555918706e-05,-0.0035158930054073334,12,0.2287874890683677,0.004959102834507948,0.7699264365450897,0.9999984063371922,0.9800664451827243,0.9441842310694769,0.9978249717039669,1.0022150049235972,0.00027881056543965776,0.01591890111109512,10,False,13
both_xy_b6_s3_c25,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,6,0.3,0.0025,-0.004038496188913054,-0.0016120556875793834,5.18089369460073e-05,12,0.4169658933072689,0.004959102834507948,0.5792890580791193,0.9999973111229812,1.0805860805860807,1.0805860805860807,0.9977873148760917,1.002233150550973,0.00017039281620800928,0.015525674658595778,10,False,13
corrected_xy_b6_s3_c75,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,6,0.3,0.0075,-0.005487087287297854,-0.0028026835035823705,0.009712894271517447,12,0.9541334430783477,0.004928237049230928,0.03789289572508874,0.9999584879453824,1.0471861471861472,1.0471861471861472,0.9933162017923884,1.0062946922216045,0.00017470964756460816,0.004748142031379077,10,False,13
top_xy_b6_s6_c25,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,6,0.6,0.0025,-0.005521807662387523,-0.0013116154606893637,-0.0016741426259903047,12,0.2238078090436751,0.0006584700859097691,0.7755337208704152,0.9999984146010886,1.03015873015873,1.03015873015873,0.9978120789141843,1.002202123387104,0.00012667726447346261,0.01488616365328349,10,False,13
top_xy_b6_s3_c25,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,6,0.3,0.0025,-0.00584155178951451,-0.0012053972678713887,0.00016731131890901363,12,0.40775760069962447,0.0006584700859097691,0.590925459128556,0.9999971718094146,1.0368480725623583,0.9969278033794163,0.9977803655702469,1.0022439385637725,0.000140853569405186,0.01851797125107779,10,False,13
top_xy_b4_s3_c25,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,0.3,0.0025,-0.005976467125669904,-0.0018738701974310157,0.00046388358580728983,12,0.5299655332064407,0.0006584700859097691,0.4681516538916611,0.9999963293566638,0.998941798941799,0.9365079365079365,0.9977726287079366,1.0022450167242742,0.00011776808937602468,0.014298502588214412,10,False,13
top_xy_b8_s3_c75,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,8,0.3,0.0075,-0.006200438072155867,-0.0007015430535588507,0.00140559268396645,12,0.9011266011626112,0.0006584700859097691,0.0951695046041463,0.9999609876165244,1.164924506387921,0.9833333333333333,0.9933505022843856,1.0065661260247731,0.00022100609121400439,0.008360858794384862,10,False,13
